CDS_CODE,GR_12,ENR_TOTAL,GRADS,UC_GRADS,Amount
1100170000000,263,1674,221,81,269452847.5799999
1611190000000,858,5867,756,411,833056716.2400002
1611270000000,300,1230,292,182,214474297.2799999
1611430000000,922,3870,838,560,938695789.88
1611500000000,789,3105,749,401,393458729.73999983
1611680000000,50,174,46,12,226185495.1200001
1611760000000,2548,10242,2351,1556,2505506915.6999993
1611920000000,1490,7803,1274,628,1459527642.26
1612000000000,1076,5634,1043,596,407773286.5999998
1612340000000,517,1888,488,154,422778984.5800003
1612420000000,1132,4126,915,495,687361721.3999999
1612590000000,2949,26365,2222,1395,3425803689.6000004
1612750000000,208,883,209,183,147925631.41999993
1612910000000,699,2745,620,208,353369203.06
1613090000000,975,4550,887,396,510961825.30000025
1750930000000,523,6185,514,351,844264846.8400003
1751010000000,1203,4861,1148,1023,618344103.1499995
2100250000000,3,5,6,0,8757011.220000003
3100330000000,18,231,7,0,35132154.80000001
3739810000000,308,1266,268,73,111989666.54000002
4100410000000,118,1047,126,19,271277288.28000003
4614080000000,42,176,40,9,28407656.78
4614240000000,1094,5060,1018,417,505084532.05999994
4614320000000,68,287,66,26,36270045.64000001
4614400000000,12,54,11,0,2549619.18
4614570000000,18,68,19,0,8264372.880000002
4615150000000,543,2227,460,93,110483636.11999995
4615310000000,336,1489,291,57,126781717.34000005
4755070000000,180,653,167,35,86511406.44000001
5100580000000,63,520,77,0,46412815.71999997
5615560000000,174,716,170,0,39399640.660000004
5615640000000,258,1023,259,74,109390343.76
6100660000000,2,8,3,0,50230585.91999999
6615980000000,110,448,98,25,68697620.7
6616060000000,30,174,28,5,13427865.100000003
6616140000000,122,459,116,33,71188794.42
6616220000000,92,880,87,31,51702877.80000001
7100740000000,618,4085,570,346,255883742.91999993
7616300000000,1319,5546,1293,987,386088187.8000001
7616480000000,1580,9198,1280,369,683612250.6800003
7616630000000,60,575,35,5,74296033.93999997
7616970000000,151,611,132,22,68369771.22
7617210000000,2116,8185,1834,870,316706074.64000016
7617390000000,333,1328,290,135,262220054.46
7617540000000,2030,9151,1797,641,1719543662.4400008
7617880000000,676,4806,697,213,624746863.5400002
7617960000000,2170,10516,1843,811,2442369064.8199997
7618040000000,2406,16449,2391,1768,1960601002.68
8100820000000,139,588,104,0,26896543.600000005
8618200000000,233,955,216,38,186493381.39999995
9100900000000,139,785,119,0,471303929.21999997
9618530000000,1700,6688,1606,826,251358620.17999995
9619030000000,289,1555,260,74,143428678.15999994
9737830000000,102,728,85,26,51409016.23999998
10623800000000,316,891,142,34,22326543.700000007
10624300000000,452,6541,399,172,231114847.83999985
12628100000000,260,1134,240,78,53546311.999999955
12630400000000,54,800,53,18,67034487.1
14101400000000,1008,2014,885,59,71678740.15999997
17640300000000,98,1558,111,35,70092144.85999998
19647900000000,524,5838,417,221,273569074.5199999
19648400000000,1554,18704,1365,544,1071682629.3999997
19649800000000,1019,11249,925,625,1287954077.5000007
19650600000000,2191,23885,2119,1174,1974411414.1399996
19734600000000,1419,14468,1405,943,627736597.68
20755800000000,155,1880,142,51,65695237.84000001
23655400000000,42,522,41,27,34863435.97999999
24657300000000,127,504,135,41,39695247.40000001
27751500000000,7,92,7,0,4015352.8600000003
27754400000000,313,4861,308,96,299182474.5799999
28102800000000,46,111,45,0,142134907.55
28662900000000,130,1230,2,1,190382274.01999995
30666700000000,4047,55909,3777,1777,2757063445.219999
30736500000000,2287,32319,2230,1489,2270781853.7399993
33103300000000,1212,8368,607,77,1287328253.6000004
33670900000000,1501,19282,1364,413,973946260.1999998
33752000000000,2036,22825,1955,1095,850217818.8199998
34673300000000,1486,19865,1342,638,1105967191.1600008
36677100000000,3295,38742,2933,1116,2350487530.6
36678500000000,2103,25994,1792,620,1179999010.0799997
36738900000000,86,2104,83,17,95573743.52000003
37681300000000,5662,21860,4352,1782,1353430731.0600004
39686500000000,323,3960,292,103,180975376.50000018
39767600000000,49,4062,47,12,187623594.83999997
40687000000000,369,4701,360,145,360918096.82
41688900000000,294,3334,258,139,246662011.5200001
41689400000000,14,329,15,5,23754768.500000007
41690700000000,683,8941,597,0,726897051.6400002
42692600000000,150,5266,144,39,204499428.9
42693100000000,2014,7900,1830,441,496006186.6799999
42750100000000,23,234,22,1,11737592.000000002
45701100000000,19,3345,20,9,121459815.32000007
47104700000000,41,504,31,0,128884062.9999999
47702500000000,21,67,17,9,13341325.11999999
48705400000000,1594,21554,1283,492,946794752.7999998
49707300000000,53,702,48,2,36067619.44
49708700000000,15,1415,13,10,66757429.15999998
49753900000000,151,1674,137,41,176780525.42000005
52105200000000,26,228,24,0,114843325.19999999
54718600000000,266,4095,251,87,215134715.76
54721400000000,272,664,202,0,9430766.279999997
56724700000000,21,1332,25,0,26072199.919999994
56725200000000,236,2639,203,0,119984020.11999999
56739400000000,627,6599,562,312,204486163.98000008
57727100000000,705,10137,638,245,448870144.93999994
