County_Code,District_Code,School_Code,Fiscal_Year,Column_Code,Period,Account_Code,Fund_Code,Resource_code,Project_Year,Goal,Function,Object_Code,Value
1,10017,0,2012,A   ,BA  ,1E+17,1,0,0,0,0,8011,1405033
1,10017,0,2012,A   ,BA  ,1E+17,1,0,0,0,0,8019,13433
1,10017,0,2012,A   ,BA  ,1E+17,1,0,0,0,0,8021,119704.31
1,10017,0,2012,A   ,BA  ,1E+17,1,0,0,0,0,8022,5.34
1,10017,0,2012,A   ,BA  ,1E+17,1,0,0,0,0,8029,1084.38
1,10017,0,2012,A   ,BA  ,1E+17,1,0,0,0,0,8041,11140877.31
1,10017,0,2012,A   ,BA  ,1E+17,1,0,0,0,0,8042,753131.84
1,10017,0,2012,A   ,BA  ,1E+17,1,0,0,0,0,8043,-151881
1,10017,0,2012,A   ,BA  ,1E+17,1,0,0,0,0,8044,149852.03
1,10017,0,2012,A   ,BA  ,1E+17,1,0,0,0,0,8045,4583339
1,10017,0,2012,A   ,BA  ,1E+17,1,0,0,0,0,8047,1424383.79
1,10017,0,2012,A   ,BA  ,1E+17,1,0,0,0,0,8091,-4778269
1,10017,0,2012,A   ,BA  ,1E+17,1,0,0,0,0,8092,112280
1,10017,0,2012,A   ,BA  ,1E+17,1,0,0,0,0,8097,-7901357
1,10017,0,2012,A   ,BA  ,1E+17,1,0,0,0,0,9110,23764533.9
1,10017,0,2012,A   ,BA  ,1E+17,1,0,0,0,0,9120,185849.26
1,10017,0,2012,A   ,BA  ,1E+17,1,0,0,0,0,9130,35000
1,10017,0,2012,A   ,BA  ,1E+17,1,0,0,0,0,9150,716827.43
1,10017,0,2012,A   ,BA  ,1E+17,1,0,0,0,0,9200,750852.09
1,10017,0,2012,A   ,BA  ,1E+17,1,0,0,0,0,9290,234498
1,10017,0,2012,A   ,BA  ,1E+17,1,0,0,0,0,9500,2580843.3
1,10017,0,2012,A   ,BA  ,1E+17,1,0,0,0,0,9590,375317
1,10017,0,2012,A   ,BA  ,1E+17,1,0,0,0,0,9610,832872.74
1,10017,0,2012,A   ,BA  ,1E+17,1,0,0,0,0,9711,35000
